Indel	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
DEL-C_1_0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000623637752142	0.0	0.0	0.0	0.000867562484927	0.00072588637704	0.000252524594544	0.0001169211464	0.000267380586592	0.000914666685276	0.0	0.0	1.00161159935e-05	0.000890836585313	0.000258034764556	0.000660814752337	0.000565616064705	0.0	0.000278998108115	0.000234850158449	0.000837230880279	0.000221765891183	0.0	0.0	0.0	0.000163958902704	3.25444525515e-05	0.000515096122399	0.0	1.11201952677e-05	0.0	0.000966697116382	0.0	0.0010839906754	6.3438230427e-05
DEL-C_1_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00053698773263	0.0	0.0	0.000273650104646	0.00108098925557	0.000833805010188	0.00046344511793	0.0	0.000526196963619	0.00120530556887	0.0	0.0	0.0	0.00116404343862	0.000218908127863	0.000741613097489	0.000312852673233	0.0	0.000569436524529	6.29347050563e-06	0.000504094001371	0.00066030776361	0.0	0.00033138616709	0.000411674787756	0.0	0.0	0.000802515249234	0.0	0.0	0.0	0.000924936379306	0.0	0.00156651542056	7.16022550478e-05
DEL-C_1_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000532887352165	0.0	0.0	0.00049093720736	0.000616117380559	0.000701314944308	0.000434417073848	0.0	0.000368263979908	0.0012884743046	0.0	0.0	0.0	0.00115565385204	8.55672478792e-05	0.000461050018203	0.000101816374809	0.0	0.000810531899333	0.000258638785454	0.000200813417905	0.000542546447832	0.0	0.0	9.21749888221e-05	0.0	0.0	0.00116589083336	0.0	0.0	0.0	0.000471637496958	0.0	0.00131891167257	3.36854791385e-05
DEL-C_1_3	0.000388904649299	0.0	0.0	0.0	1.26384329633e-05	0.0	0.0	0.000341301463777	0.0	0.0	0.000168739556102	0.0	0.0	0.0	0.0	0.0	0.000912352348678	0.000232952588703	0.0	0.00124372472055	0.00126280623954	0.00057764374651	0.000192739826161	0.000911627663299	0.000283296976704	0.00101535313297	0.00121487944853	0.0	0.0	0.0	0.0	0.0	0.000244365044637	0.0	0.00124873919412	0.00104410503991	0.000336642231559	0.0	0.0	0.0	0.00067009171471	1.01842961158e-05
DEL-C_1_4	0.0013073340524	0.0	0.0	0.0	0.0	0.0	0.0	0.000401503581088	0.0	0.0	0.000185537617654	0.0	0.0	0.0	0.0	0.0	0.00145400699694	0.00155123393051	0.0	0.00365871260874	0.00226495438255	0.00114157423377	0.0	0.00161361019127	0.00175349775236	0.00315446779132	0.00304995803162	0.0	0.0	0.0	0.0	0.0	0.000642747734673	0.0	0.00312355323695	0.00383632257581	0.00104265625123	0.0	0.0	0.0	0.000540174718481	0.0
DEL-C_1_5+	0.00307931681164	0.0	0.0	0.0	0.0	0.0	0.0	0.00095508719096	0.0	0.0	0.0	0.0	0.0	0.0	7.21146061551e-05	0.0	0.00250208913349	0.00550748733804	0.0	0.00888923183084	0.00454746047035	0.00256532337517	0.0	0.00400419067591	0.00531305093318	0.00855713523924	0.00726324645802	0.0	0.0	0.0	0.0	0.0	0.000967049272731	0.0	0.00815542507917	0.0105449212715	0.00235106050968	0.0	0.0	0.0	0.000243326037889	0.0
DEL-T_1_0	0.0	0.0	0.0	0.000322286126902	0.0	0.0	0.0	0.000290285854135	0.0	0.0	0.0	0.000304712069919	0.000292143929983	0.000113994159619	0.0	0.000100082877907	0.000750209903345	0.0	9.77949384833e-05	0.000168938626302	0.00047642775462	0.000330767594278	0.000417709728936	0.000284217880107	0.0	0.0	0.000200171285542	0.000176799643668	0.0	0.0	0.0	0.0	0.0	0.0	0.000577828206588	0.0	0.0	0.0	0.000380932615371	0.0	0.000369702058379	0.000277647457551
DEL-T_1_1	0.000347957015038	0.0	0.0	0.000350825401256	0.000214895233512	0.0	0.0	0.000703767931554	0.0	0.000418491457822	0.0	0.0	0.00012126173533	0.000393815425923	0.000487165729282	0.00070798874367	0.000339397491189	0.0	0.000214600688196	0.000698384421412	0.00123869848903	0.000658456003293	0.00112279644236	0.000472238054499	0.0	1.6949896235e-05	0.000608842121437	0.000476699962746	0.0	0.0	0.0	0.0	0.0	0.000149710322148	0.000762401439715	0.0	0.0	0.0	0.000717093236744	0.000424774421845	0.000381711288355	0.0
DEL-T_1_2	5.95408419031e-05	0.0	0.0	0.000929671456106	0.0	0.0	0.00121048244182	0.0	0.0	0.0	0.0	0.0	0.000678964017425	0.0	0.000222075876081	0.0	0.00178174988832	0.0	0.0	0.00198275549337	0.000644652522169	0.00113816454541	0.0011199003784	0.00124158384278	0.0	0.0	0.000723007600754	0.00142003607471	0.0	0.00118900323287	0.0	0.000338573678164	0.0	0.00114307284821	0.000527119904291	0.000870765710715	0.000543279340491	0.0	0.0	0.0	0.00135493825655	0.000176447545527
DEL-T_1_3	0.00273215514608	0.000420328025939	0.0	0.000422085315222	0.0	3.78724398615e-05	0.00426152534783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00310233328491	0.000404764257837	0.0	0.00533754471689	0.00237574591301	0.00468984711915	0.00147104077041	0.00309697980992	0.0	0.00166131474543	0.0039489287883	0.00326638575643	0.0	0.0022306246683	0.0	0.0	0.0	0.00129914970603	0.00485297245905	0.00489973369986	0.00163147109561	0.0	0.0	0.0	0.00224497006275	0.000180921444553
DEL-T_1_4	0.00701720034704	0.0	3.27573179675e-05	0.0	0.0	0.0	0.00674379011616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00526501052082	0.00455263257027	0.0	0.0118229929358	0.00542794866487	0.0099488645792	0.00101148302201	0.00557000888512	0.00283709727228	0.00825527217239	0.00992740597576	0.0036269321572	0.0	0.0026766709052	0.0	0.0	0.0	0.000779688707553	0.0129839098081	0.0142018152401	0.00450901407748	0.0	0.0	0.0	0.00360848032869	0.0
DEL-T_1_5+	0.0412613302469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00344746350311	0.0	0.0284096281976	0.112640842795	0.0	0.140516191721	0.041702054441	0.0514680705965	0.0	0.0499889329076	0.0836632028222	0.138705790043	0.103358410299	0.0	0.0	0.0162286516279	0.0	0.0	0.0114855552092	0.0	0.14902433753	0.205033019185	0.0614639520645	0.0	0.0	0.0	0.0150894159451	0.0
